# Time (s), Acceleration (g)
4.070000000000000284e+00,-5.653801789320062055e-02
4.080000000000000071e+00,-2.411702257479909082e-04
4.089999999999999858e+00,2.255712193970132659e-02
4.099999999999999645e+00,2.454317451237957720e-02
4.110000000000000320e+00,-6.980364279212492723e-03
4.120000000000000107e+00,-6.394706070926532704e-02
4.129999999999999893e+00,-9.081635088519172949e-02
4.139999999999999680e+00,-5.469840436545154311e-02
4.150000000000000355e+00,-5.670032605899004430e-02
4.160000000000000142e+00,-4.813467437410166166e-02
4.169999999999999929e+00,5.707705495953354496e-02
4.179999999999999716e+00,1.276689934829338124e-01
4.190000000000000391e+00,1.239028724426627370e-01
4.200000000000000178e+00,1.273882021634046569e-01
4.209999999999999964e+00,1.305317161245881652e-01
4.219999999999999751e+00,1.145214767801287781e-01
4.230000000000000426e+00,1.234639382784046974e-01
4.240000000000000213e+00,1.329433398798570143e-01
4.250000000000000000e+00,7.948785887442172404e-02
4.259999999999999787e+00,4.187662563222369766e-04
4.270000000000000462e+00,-7.540323930806561159e-02
4.280000000000000249e+00,-1.378871249688205791e-01
4.290000000000000036e+00,-1.215030296117255160e-01
4.299999999999999822e+00,-5.697509289440449987e-02
4.310000000000000497e+00,-3.903327654841345223e-02
4.320000000000000284e+00,-4.163098998943282752e-02
4.330000000000000071e+00,-5.406582312068743817e-02
4.339999999999999858e+00,-8.330998487513062434e-02
4.350000000000000533e+00,-5.251642969763187230e-02
4.360000000000000320e+00,8.080600209898198064e-03
4.370000000000000107e+00,5.960428627971552096e-02
4.379999999999999893e+00,1.111460049901655533e-01
4.389999999999999680e+00,8.191427786631695629e-02
4.400000000000000355e+00,4.530437620318383471e-03
4.410000000000000142e+00,-3.374934986529192632e-02
4.419999999999999929e+00,-4.030421637131162416e-02
4.429999999999999716e+00,-1.340448515423085622e-02
4.440000000000000391e+00,-1.310498087697986244e-03
4.450000000000000178e+00,-9.015047480079921988e-03
4.459999999999999964e+00,1.779509751407293630e-02
4.469999999999999751e+00,1.887722182333636742e-02
4.480000000000000426e+00,-4.976263606300497522e-03
4.490000000000000213e+00,6.021287587032391614e-03
4.500000000000000000e+00,1.458887945128836509e-02
4.509999999999999787e+00,3.255072243616641270e-02
4.520000000000000462e+00,4.590961517190330493e-02
4.530000000000000249e+00,-2.542080871412731244e-02
4.540000000000000036e+00,-7.586912268439002793e-02
4.549999999999999822e+00,1.651103048406044743e-02
4.560000000000000497e+00,1.256290574140404848e-01
4.570000000000000284e+00,1.439224518002492625e-01
4.580000000000000071e+00,1.398360528143930137e-01
4.589999999999999858e+00,1.457106810125636254e-01
4.600000000000000533e+00,1.110777765867407424e-01
4.610000000000000320e+00,2.262338886251147665e-02
4.620000000000000107e+00,-3.151688854532493783e-02
4.629999999999999893e+00,1.638555520650584324e-02
4.639999999999999680e+00,1.348779311702905659e-01
4.650000000000000355e+00,2.210838701264037365e-01
4.660000000000000142e+00,1.207004447498465638e-01
4.669999999999999929e+00,-4.537680915819686245e-02
4.679999999999999716e+00,-7.300764675474774590e-02
4.690000000000000391e+00,-5.506759287736728153e-02
4.700000000000000178e+00,1.090645650643820574e-02
4.709999999999999964e+00,1.026752574872868695e-01
4.719999999999999751e+00,9.688833589556263004e-02
4.730000000000000426e+00,9.283783335852970053e-02
4.740000000000000213e+00,7.369415497853754049e-02
4.750000000000000000e+00,-3.794816909792385340e-02
4.759999999999999787e+00,-1.276174615925676492e-01
4.770000000000000462e+00,-1.142411794368577427e-01
4.780000000000000249e+00,-4.600758931724149847e-02
